"id","slug","name","source","aliases","best_wger_score","best_wger_id","best_wger_name","best_wger_has_media","best_exercemus_score","best_exercemus_name","note"
"54d42a51-2ead-47a4-a7c8-9c0ea2fa5752","leverage-deadlift-machine","Leverage Deadlift","free_exercise_db","","0.5","1370","Dumbbell Deadlift","false","0","3/4 Sit-Up","wger_has_media=false"
"4ca3f967-cade-45b8-aa86-0f636ab9c2c0","leverage-high-row-machine","Leverage High Row","free_exercise_db","","0.6666666666666666","1492","High Row","false","0","3/4 Sit-Up","wger_has_media=false"
"30aac809-9898-49b8-a5d8-251b8fbac103","leverage-iso-row-machine","Leverage Iso Row","free_exercise_db","","1","380","Leverage Machine Iso Row","false","0","3/4 Sit-Up","wger_has_media=false"
"b35c08c3-24aa-403f-8d1c-815c58c3269e","linear-3-part-start-technique","Linear 3-Part Start Technique","free_exercise_db","","0.14285714285714285","1834","Trap-3 Raise","false","0.125","3/4 Sit-Up","wger_has_media=false"
"e66b2482-9404-4aec-92a5-4c545490a5ef","linear-acceleration-wall-drill","Linear Acceleration Wall Drill","free_exercise_db","","0.2","711","Wall Handstand","false","0","3/4 Sit-Up","wger_has_media=false"
"a183a188-ca7c-4da8-ba23-5987f56921d0","linear-depth-jump-other","Linear Depth Jump","free_exercise_db","","0.16666666666666666","993","Jump rope: basic jumps","false","0","3/4 Sit-Up","wger_has_media=false"
"54c718a5-639b-46a3-9a1a-e3f4ee9c77ce","log-lift-other","Log Lift","free_exercise_db","","0.16666666666666666","1410","Plank with Alternating Leg Lift","false","0","3/4 Sit-Up","wger_has_media=false"
"43dc5650-51aa-41dc-a2a2-4d7062456afe","london-bridges-other","London Bridges","free_exercise_db","","0","57","Bear Walk 2","false","0","3/4 Sit-Up","wger_has_media=false"
"da9a8023-3523-44c6-81ca-7ec8fd2e0e4c","looking-at-ceiling","Looking At Ceiling","free_exercise_db","","0.125","468","Prone Scapular Retraction - Arms at Side","false","0","3/4 Sit-Up","wger_has_media=false"
"eff98dc4-7f24-4fcd-874b-bd3f43e669b8","low-cable-crossover-cable","Low Cable Crossover","free_exercise_db","","0.4","1270","Low Pulley Cable fFly","false","0.2","Cable Hammer Curls (Rope Attachment)","wger_has_media=false"
